('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Ellen Macdonald', 'BARBARIAN', 'HALF_ELF', 19854, 20)
('Shelby Wright', 'PALADIN', 'ELF', 10016, 9)
('Theresa Norman', 'WIZARD', 'ELF', 12002, 7)
('Calvin Rodriguez', 'MONK', 'ELF', 8065, 2)
('Tara Garcia DVM', 'PALADIN', 'HUMAN', 15408, 9)
('Brenda Daniels', 'ROGUE', 'DWARF', 12806, 14)
('Victoria Edwards', 'MONK', 'TIEFLING', 2188, 19)
('Patricia Butler', 'WIZARD', 'DWARF', 16527, 7)
('David Chavez', 'RANGER', 'GNOME', 2096, 19)
('Brian Cooper', 'ROGUE', 'GNOME', 18103, 6)
('Amber Powell', 'ARTIFICER', 'HUMAN', 12810, 19)
('Carlos Anderson', 'WIZARD', 'DWARF', 6883, 19)
('Holly Turner', 'MONK', 'GNOME', 13121, 16)
('James Murillo', 'BARBARIAN', 'GNOME', 6272, 19)
('Destiny Rodriguez', 'PALADIN', 'DRAGONBORN', 4105, 13)
('Mr. Robert Gordon', 'SORCERER', 'DRAGONBORN', 9467, 20)
('Dr. Austin Smith', 'ARTIFICER', 'HALFLING', 12955, 1)
('Beverly Hernandez', 'ARTIFICER', 'HALF_ORC', 372, 20)
('Jeremy Vasquez', 'BARD', 'GNOME', 3534, 6)
('Jonathon Cortez', 'MONK', 'DWARF', 17290, 2)
('Joseph Poole', 'MONK', 'HALFLING', 3615, 12)
('Nicole Medina', 'BARBARIAN', 'DRAGONBORN', 17695, 7)
('Jackie Dominguez', 'MONK', 'HALF_ELF', 15866, 20)
('Randy Brown', 'ARTIFICER', 'HALFLING', 17231, 12)
('Daniel James', 'WIZARD', 'HALF_ORC', 6242, 3)
('Tyler Humphrey', 'BARBARIAN', 'DRAGONBORN', 980, 20)
('Nathaniel Allen', 'BARD', 'ELF', 17642, 4)
('Mr. Brian Baker', 'FIGHTER', 'HALF_ELF', 8129, 20)
('Jeffrey Hale', 'WARLOCK', 'DRAGONBORN', 324, 9)
('Patrick Castillo', 'SORCERER', 'HALF_ORC', 17171, 6)
('Brandon Simpson', 'BARD', 'GNOME', 9207, 4)
('Stanley Young', 'WIZARD', 'DWARF', 11969, 19)
('Theresa Caldwell', 'ARTIFICER', 'TIEFLING', 244, 17)
('Robin Hudson', 'RANGER', 'HALFLING', 17748, 3)
('Richard Stokes', 'WIZARD', 'GNOME', 511, 4)
('Kenneth Roman', 'WIZARD', 'DWARF', 17108, 8)
('Laura Smith', 'WIZARD', 'HALF_ELF', 13639, 1)
('Stephanie Higgins', 'WARLOCK', 'DRAGONBORN', 2990, 10)
('Brian Spencer', 'RANGER', 'TIEFLING', 16957, 18)
('Matthew Harris', 'MONK', 'TIEFLING', 16616, 17)
('Michael Adams', 'FIGHTER', 'DRAGONBORN', 15107, 12)
('Cynthia Tran', 'ROGUE', 'HALF_ELF', 1925, 11)
('Richard Johnson', 'PALADIN', 'DRAGONBORN', 9460, 9)
('Cheryl Mcdonald', 'DRUID', 'HALF_ELF', 17020, 16)
('Eric Montes', 'WIZARD', 'HALF_ELF', 13158, 6)
('Erik Bell', 'PALADIN', 'DRAGONBORN', 14162, 11)
('Erika Owen', 'ROGUE', 'HALFLING', 2723, 5)
('David Greer', 'FIGHTER', 'GNOME', 4793, 16)
('Kimberly Terry', 'SORCERER', 'GNOME', 8329, 10)
('Albert Montoya', 'RANGER', 'HALF_ORC', 13918, 1)
('David Franklin', 'RANGER', 'ELF', 7911, 20)
('Catherine Harris', 'DRUID', 'DRAGONBORN', 9215, 17)
('Michael Weaver', 'WARLOCK', 'HALFLING', 18898, 4)
('Monica West', 'SORCERER', 'DWARF', 5621, 14)
('Amber Jennings', 'RANGER', 'ELF', 10081, 19)
('Matthew Bolton', 'DRUID', 'DRAGONBORN', 17521, 2)
('Katherine Perry', 'ARTIFICER', 'HALF_ELF', 2681, 12)
('Gabriel Brooks', 'FIGHTER', 'HALF_ELF', 490, 18)
('Elizabeth Hall', 'DRUID', 'GNOME', 18545, 18)
('Omar Nielsen', 'BARBARIAN', 'DWARF', 18972, 12)
('Kristy Fields', 'RANGER', 'GNOME', 3579, 12)
('Kristy Anderson', 'DRUID', 'HALFLING', 12431, 4)
('Scott Perez', 'FIGHTER', 'HALF_ELF', 2791, 5)
('Christopher Johnson', 'SORCERER', 'HALF_ORC', 3445, 18)
('Larry Raymond', 'DRUID', 'GNOME', 2803, 15)
('Tammy Cordova', 'WIZARD', 'HALF_ORC', 5626, 2)
('Mr. Brandon Stokes PhD', 'WIZARD', 'HALF_ORC', 5115, 12)
('Michael Jarvis', 'WARLOCK', 'HALF_ORC', 13885, 6)
('Tyler Mcfarland', 'RANGER', 'HALFLING', 8154, 17)
('Megan Swanson', 'DRUID', 'HUMAN', 1812, 8)
('Jennifer Lee', 'PALADIN', 'TIEFLING', 16939, 13)
('Billy Ferguson', 'BARD', 'DRAGONBORN', 10635, 8)
('Joshua Sullivan', 'PALADIN', 'TIEFLING', 4011, 9)
('Andre Garrett', 'WARLOCK', 'HALF_ELF', 10442, 8)
('Shannon Ho', 'ARTIFICER', 'GNOME', 8686, 4)
('Heather Miller', 'WIZARD', 'HALF_ORC', 14032, 5)
('Derek Clark', 'WARLOCK', 'GNOME', 12230, 5)
('Joseph Fleming', 'WARLOCK', 'DRAGONBORN', 9648, 20)
('Cheryl Freeman', 'WARLOCK', 'GNOME', 1233, 2)
('Mary Jennings', 'BARD', 'HALFLING', 15408, 7)
('Victoria Becker', 'DRUID', 'HALF_ORC', 8589, 6)
('Erin Ho', 'PALADIN', 'HALF_ORC', 2206, 8)
('Sheila Morton', 'SORCERER', 'DWARF', 9259, 2)
('Carmen Hernandez', 'DRUID', 'HALF_ORC', 14109, 10)
('Travis Rodriguez', 'SORCERER', 'HALFLING', 17500, 1)
('Kendra Medina', 'MONK', 'GNOME', 9336, 19)
('Angela Gonzales', 'SORCERER', 'ELF', 13026, 13)
('Matthew Ramos', 'FIGHTER', 'DWARF', 4385, 19)
('Angel Hardy', 'WARLOCK', 'HALFLING', 8283, 14)
('Earl Lara', 'ARTIFICER', 'ELF', 15182, 16)
('Carolyn Washington', 'BARD', 'GNOME', 10326, 12)
('Elizabeth Hawkins', 'DRUID', 'TIEFLING', 7048, 14)
('Richard Roberts', 'ROGUE', 'HALFLING', 14602, 2)
('Jeff Howard', 'WARLOCK', 'TIEFLING', 955, 13)
('Christine Irwin', 'PALADIN', 'HALF_ELF', 5880, 15)
('Stephen Carter', 'ARTIFICER', 'HALF_ORC', 7614, 1)
('Debra Burns', 'CLERIC', 'DRAGONBORN', 19037, 5)
('David Foster', 'WARLOCK', 'HALF_ELF', 2275, 6)
('Yesenia Edwards', 'DRUID', 'ELF', 12404, 8)
('Walter Arroyo', 'BARD', 'HUMAN', 9200, 18)
('Bryan Tucker DDS', 'WARLOCK', 'TIEFLING', 6713, 20)
('Charles Taylor', 'SORCERER', 'HALF_ORC', 13355, 3)
('Jordan Hurst', 'DRUID', 'GNOME', 14084, 10)
('Laurie Collins', 'FIGHTER', 'ELF', 13118, 11)
('Luke Gardner', 'BARBARIAN', 'HALFLING', 4922, 16)
('Sarah Smith', 'MONK', 'GNOME', 3724, 6)
('Joseph Cook', 'MONK', 'DRAGONBORN', 16575, 4)
('Sabrina Stanley', 'WIZARD', 'HALF_ELF', 14380, 20)
('Robert Clark', 'PALADIN', 'ELF', 9442, 17)
('Jeremy Gill', 'PALADIN', 'ELF', 5633, 2)
('Sara Davis', 'MONK', 'DWARF', 12457, 18)
('Bradley Lara', 'WIZARD', 'HALF_ORC', 2730, 10)
('Jason Richardson', 'WIZARD', 'GNOME', 15805, 11)
('David Smith', 'MONK', 'DRAGONBORN', 12397, 9)
('Thomas Acosta', 'SORCERER', 'HUMAN', 5283, 4)
('Jennifer Hicks', 'WIZARD', 'HALFLING', 1218, 14)
('Peter Thomas', 'PALADIN', 'HALF_ELF', 8065, 14)
('Pamela Moody', 'CLERIC', 'HALF_ELF', 14837, 7)
('Joshua Jackson', 'WIZARD', 'DWARF', 15560, 2)
('Jacqueline Cherry', 'RANGER', 'ELF', 6537, 20)
('Anthony Duncan', 'BARBARIAN', 'HUMAN', 7845, 12)
('Allen Ford', 'ROGUE', 'HALF_ELF', 11560, 9)
('Madison Sanchez', 'SORCERER', 'HUMAN', 18780, 16)
('Tim Brown', 'BARBARIAN', 'GNOME', 9601, 20)
('Christopher Spencer', 'FIGHTER', 'HALF_ELF', 17104, 18)
('Patricia Graves', 'DRUID', 'DRAGONBORN', 7263, 20)
('Victoria Brown', 'WARLOCK', 'DRAGONBORN', 1858, 12)
('Stephanie Smith', 'WIZARD', 'DWARF', 3719, 20)
('Melissa Kelly', 'ARTIFICER', 'GNOME', 16573, 15)
('Joshua Adams', 'FIGHTER', 'TIEFLING', 14392, 14)
('Tiffany King', 'DRUID', 'HALFLING', 4156, 19)
('Karen Bean', 'MONK', 'HALF_ELF', 12378, 4)
('Christopher Walsh', 'BARD', 'HALF_ORC', 2710, 11)
('Lori Sharp', 'WARLOCK', 'GNOME', 15826, 16)
('Jeffrey Avila', 'WIZARD', 'GNOME', 8317, 9)
('Mr. Jacob Murray', 'BARBARIAN', 'HALF_ELF', 14515, 14)
('Charlotte Rodriguez', 'WARLOCK', 'HALF_ELF', 11419, 1)
('Kimberly Bennett', 'MONK', 'HALF_ORC', 5740, 5)
('Tasha Jones', 'BARBARIAN', 'HUMAN', 5037, 10)
('Joseph Olson', 'SORCERER', 'DWARF', 9064, 3)
('Aaron Grant PhD', 'ARTIFICER', 'GNOME', 12532, 2)
('Peter Flowers', 'SORCERER', 'ELF', 16148, 12)
('Victor Harper', 'BARD', 'HALFLING', 13861, 4)
('Chad Washington', 'BARD', 'HALFLING', 7485, 10)
('Megan Thomas', 'BARBARIAN', 'GNOME', 18254, 6)
('Jamie Smith', 'FIGHTER', 'HALF_ORC', 14177, 1)
('Vanessa Riley', 'BARD', 'HUMAN', 2201, 5)
('Robert Williams', 'PALADIN', 'DWARF', 7152, 2)
('Michael Hayes', 'CLERIC', 'GNOME', 10952, 17)
('Andrew Perez', 'SORCERER', 'DWARF', 11040, 11)
('Jacqueline Weaver', 'SORCERER', 'DRAGONBORN', 6891, 10)
('Nicole Hill', 'SORCERER', 'HALFLING', 11818, 6)
('Penny Watkins', 'BARBARIAN', 'GNOME', 9385, 15)
('Rita Krueger', 'CLERIC', 'HALFLING', 10467, 6)
('William Anderson', 'PALADIN', 'HALF_ELF', 14147, 4)
('Billy Ball', 'FIGHTER', 'TIEFLING', 16679, 13)
('Patricia Baker DDS', 'DRUID', 'ELF', 7112, 6)
('Robert Lee', 'DRUID', 'ELF', 12676, 4)
('Logan Gonzales', 'SORCERER', 'DWARF', 435, 9)
('Joshua Brewer', 'DRUID', 'ELF', 9746, 1)
('Jeremy Woods', 'DRUID', 'HALF_ORC', 17290, 2)
('Shawn Park', 'BARBARIAN', 'DRAGONBORN', 7745, 1)
('Amy Smith', 'CLERIC', 'DWARF', 6425, 12)
('Christina Johnson', 'WARLOCK', 'DWARF', 8165, 16)
('Candice Reynolds', 'BARBARIAN', 'GNOME', 4139, 6)
('Dr. Keith Wilson', 'PALADIN', 'ELF', 8157, 3)
('Dr. Nathan Jenkins DVM', 'RANGER', 'HUMAN', 19710, 1)
('Jerry Stevens', 'BARBARIAN', 'GNOME', 8083, 17)
('Tyrone Odom', 'SORCERER', 'DWARF', 818, 4)
('Dalton Gomez', 'DRUID', 'DRAGONBORN', 12217, 7)
('Mariah Duncan', 'PALADIN', 'ELF', 3514, 11)
('Sarah Thornton', 'FIGHTER', 'HALFLING', 19819, 16)
('Megan Lester', 'CLERIC', 'HALFLING', 1678, 7)
('Deborah Silva', 'SORCERER', 'ELF', 5951, 19)
('Erin Bailey', 'ARTIFICER', 'DRAGONBORN', 6962, 5)
('Mr. Gregory Campbell', 'DRUID', 'DWARF', 14864, 15)
('Paul Good', 'DRUID', 'HALF_ELF', 18425, 11)
('Michael King', 'MONK', 'HALF_ORC', 1915, 7)
('Laurie Stevens', 'WIZARD', 'HUMAN', 3817, 20)
('Joan Poole', 'ROGUE', 'HALFLING', 1717, 13)
('Cody Ortega', 'MONK', 'HUMAN', 7673, 10)
('Douglas Padilla', 'SORCERER', 'ELF', 1030, 8)
('Jennifer Sanders', 'FIGHTER', 'HALF_ELF', 15800, 10)
('Nicholas Ayala', 'ROGUE', 'DWARF', 3090, 11)
('Megan Garcia', 'WIZARD', 'HALF_ORC', 8325, 14)
('Chase Dougherty', 'FIGHTER', 'TIEFLING', 15073, 17)
('Christina Molina', 'ROGUE', 'DWARF', 17534, 10)
('Joseph Gomez', 'PALADIN', 'HALF_ORC', 4025, 5)
('Eric Davis', 'CLERIC', 'GNOME', 16400, 11)
('Nicholas Gordon', 'PALADIN', 'GNOME', 6578, 9)
('Mr. Brian Martinez', 'FIGHTER', 'DRAGONBORN', 16840, 3)
('Mitchell Parks', 'WARLOCK', 'DWARF', 1000, 5)
('William Rodriguez', 'ROGUE', 'HALF_ELF', 9660, 8)
('Mike Freeman', 'DRUID', 'HALF_ORC', 673, 10)
('Cody Stanley', 'BARBARIAN', 'TIEFLING', 13681, 6)
('Brian Schwartz', 'PALADIN', 'HUMAN', 7138, 11)
('Randy Hicks', 'BARBARIAN', 'HALF_ORC', 16731, 12)
('Kathryn Miller', 'RANGER', 'HALF_ORC', 1243, 6)
('Jennifer Russell', 'BARD', 'ELF', 12253, 20)
('Erica Davies', 'CLERIC', 'TIEFLING', 14561, 19)
('Elizabeth Gutierrez', 'PALADIN', 'HALF_ELF', 5501, 11)
('Derrick James', 'BARBARIAN', 'DWARF', 7565, 1)
('Robert Butler', 'SORCERER', 'DRAGONBORN', 17670, 18)
('Kelsey Mendoza', 'MONK', 'DWARF', 17468, 14)
('Alyssa Meyer', 'ARTIFICER', 'TIEFLING', 1611, 19)
('Elizabeth Edwards', 'ARTIFICER', 'ELF', 9236, 6)
('Andrea Mack', 'FIGHTER', 'HALFLING', 6079, 1)
('Nancy Lewis', 'DRUID', 'DWARF', 17210, 13)
('Michele Moreno', 'SORCERER', 'HALF_ELF', 12737, 9)
('Michael Lopez PhD', 'BARBARIAN', 'TIEFLING', 1841, 6)
('Harold Aguirre', 'DRUID', 'HUMAN', 4143, 13)
('Joseph Bryant', 'WIZARD', 'HALF_ELF', 4283, 7)
('Robin Ingram', 'RANGER', 'HALF_ELF', 12318, 10)
('Christopher Nichols', 'FIGHTER', 'ELF', 8916, 10)
('Allen Green', 'RANGER', 'DWARF', 18576, 7)
('Tammy Cooper', 'WARLOCK', 'TIEFLING', 7672, 1)
('Russell Williams', 'RANGER', 'HUMAN', 6617, 16)
('Emily Byrd', 'SORCERER', 'HALFLING', 3427, 20)
('Holly Valentine', 'DRUID', 'HALF_ELF', 5138, 15)
('Marcus Jones', 'SORCERER', 'DRAGONBORN', 19628, 18)
('William Barry', 'FIGHTER', 'TIEFLING', 13575, 3)
('Jason Allen', 'CLERIC', 'TIEFLING', 15602, 15)
('Calvin Booth', 'BARBARIAN', 'GNOME', 5419, 1)
('Christopher Moore', 'CLERIC', 'DRAGONBORN', 1817, 17)
('Tony Peterson', 'RANGER', 'DWARF', 16668, 8)
('Madison Collins', 'SORCERER', 'GNOME', 13789, 4)
('Nathan Osborne', 'MONK', 'HALFLING', 14471, 17)
('Madison Pittman', 'CLERIC', 'GNOME', 6211, 2)
('Jasmine Martinez', 'ARTIFICER', 'ELF', 1887, 15)
('Sarah Fox', 'WARLOCK', 'HALF_ELF', 10415, 18)
('Darrell Jones', 'ARTIFICER', 'DWARF', 6524, 17)
('Christopher Gonzalez', 'ROGUE', 'ELF', 17593, 6)
('Brandi Rose', 'SORCERER', 'HALF_ORC', 4386, 13)
('Mark Smith', 'WARLOCK', 'DRAGONBORN', 816, 7)
('Patricia Wiggins', 'WARLOCK', 'HALF_ORC', 17895, 13)
('Jennifer Clark', 'MONK', 'HALF_ELF', 12783, 7)
('Alexis Davis', 'ROGUE', 'DWARF', 16790, 6)
('John Martin', 'WARLOCK', 'ELF', 12386, 17)
('Michael Stewart', 'BARBARIAN', 'DRAGONBORN', 9621, 11)
('Erin Wilson', 'BARD', 'DWARF', 6156, 3)
('Jennifer Elliott', 'BARBARIAN', 'GNOME', 6410, 18)
('Brandon Valentine MD', 'PALADIN', 'HALF_ORC', 19583, 1)
('Dennis Smith', 'ARTIFICER', 'ELF', 13306, 7)
('Troy Wilson', 'CLERIC', 'GNOME', 15295, 1)
('Roger Livingston', 'ROGUE', 'HALFLING', 197, 8)
('Christina Landry', 'ROGUE', 'GNOME', 926, 3)
('Rickey Lawson', 'BARBARIAN', 'HALF_ELF', 16219, 19)
('Chad Lopez', 'WIZARD', 'HUMAN', 5798, 13)
('Ronald Wood', 'BARD', 'GNOME', 19737, 12)
('Ryan Jordan', 'CLERIC', 'ELF', 8601, 20)
('Karen Yates', 'WARLOCK', 'DWARF', 19654, 19)
('Jorge Collins', 'DRUID', 'HUMAN', 13623, 5)
('Michelle Miller', 'MONK', 'GNOME', 1600, 9)
('Francisco Harris', 'WARLOCK', 'HALFLING', 7519, 7)
('Daniel Stein', 'WARLOCK', 'HALF_ELF', 15555, 8)
('Emily Richmond', 'ROGUE', 'TIEFLING', 12857, 19)
('Austin Thompson', 'CLERIC', 'HALFLING', 9022, 16)
('Christopher Graham', 'WIZARD', 'HUMAN', 14848, 10)
('Ashley Mitchell', 'RANGER', 'GNOME', 7939, 5)
('Tommy Good', 'CLERIC', 'TIEFLING', 922, 6)
('Martha Campbell', 'PALADIN', 'DWARF', 15688, 9)
('Michael Carpenter', 'CLERIC', 'ELF', 6989, 18)
('Jennifer Neal', 'RANGER', 'HALF_ELF', 19985, 20)
('Sheila Wilson', 'PALADIN', 'GNOME', 14746, 2)
('Catherine Trujillo', 'PALADIN', 'HALFLING', 14416, 19)
('Daniel Sweeney', 'SORCERER', 'GNOME', 19327, 11)
('Tammy Foster', 'WARLOCK', 'HALF_ELF', 142, 6)
('Alex Wilson', 'RANGER', 'DRAGONBORN', 4323, 20)
('Paul Dennis', 'MONK', 'HALF_ELF', 17463, 6)
('Brian Robinson', 'WARLOCK', 'DWARF', 15125, 7)
('Jonathan Arias', 'BARBARIAN', 'DWARF', 5553, 5)
('Dean Hawkins', 'BARD', 'HALF_ORC', 9386, 5)
('Richard Walter', 'CLERIC', 'GNOME', 19032, 12)
('Kelly Bell', 'ROGUE', 'HALF_ORC', 2348, 7)
('Colton Jones', 'DRUID', 'HALF_ORC', 15546, 18)
('Dr. Dylan White', 'SORCERER', 'DRAGONBORN', 13428, 12)
('Gina Hinton', 'PALADIN', 'DRAGONBORN', 14529, 18)
('Melissa Hall', 'SORCERER', 'HALF_ELF', 19695, 9)
('Benjamin Moore', 'BARBARIAN', 'TIEFLING', 5071, 8)
('Andrea Mitchell', 'FIGHTER', 'HALF_ELF', 5055, 18)
('Kimberly Norris', 'SORCERER', 'DWARF', 3949, 18)
('Jose Bennett', 'ARTIFICER', 'DRAGONBORN', 1689, 2)
('Kyle Miller', 'BARBARIAN', 'GNOME', 16898, 14)
('Derrick Wilson', 'MONK', 'ELF', 18483, 19)
('Wendy Flowers', 'CLERIC', 'HALF_ORC', 13866, 6)
('William Gamble', 'MONK', 'DWARF', 15732, 17)
('Timothy Tate', 'ARTIFICER', 'GNOME', 18881, 18)
('Cynthia Orozco', 'MONK', 'HALF_ELF', 16649, 4)
('John Mitchell', 'ARTIFICER', 'ELF', 1568, 14)
('Joan Robinson', 'BARD', 'HALFLING', 12995, 13)
('Jonathan Rivera', 'RANGER', 'GNOME', 255, 16)
('Natalie Nichols', 'SORCERER', 'ELF', 2619, 10)
('Evelyn Smith', 'SORCERER', 'TIEFLING', 4952, 12)
('Mrs. Mary Black', 'BARD', 'HALF_ORC', 13580, 18)
('Karen Conway', 'FIGHTER', 'HALF_ELF', 16107, 4)
('Manuel Hughes', 'BARD', 'DWARF', 13209, 14)
('Jennifer Powers', 'CLERIC', 'TIEFLING', 3638, 14)
('Elaine Michael', 'ROGUE', 'HALFLING', 15388, 15)
('Paul Branch', 'MONK', 'HALFLING', 18437, 11)
('Jennifer Barker', 'PALADIN', 'GNOME', 5194, 11)
('Andres Morrison', 'MONK', 'GNOME', 2625, 1)
('Jillian Jones', 'PALADIN', 'DRAGONBORN', 11573, 19)
('Patrick Hernandez', 'SORCERER', 'HALFLING', 18893, 12)
('Samantha Wilson', 'RANGER', 'DWARF', 4878, 7)
('Ashley Moran', 'BARBARIAN', 'ELF', 1666, 12)
('Lauren Moreno', 'ROGUE', 'ELF', 17355, 13)
('Michelle Ross', 'SORCERER', 'TIEFLING', 574, 18)
('Angela Hinton', 'PALADIN', 'ELF', 15910, 9)
('Andrew Eaton', 'ROGUE', 'GNOME', 18018, 7)
('Dawn Hicks DDS', 'CLERIC', 'DRAGONBORN', 1006, 19)
('Collin Boyd', 'BARD', 'DRAGONBORN', 9054, 14)
('Amy Brown', 'FIGHTER', 'HUMAN', 2470, 8)
('Scott Adams', 'FIGHTER', 'HUMAN', 10594, 13)
('Amber Martinez', 'BARD', 'DWARF', 1791, 5)
('Michelle Benson', 'DRUID', 'DRAGONBORN', 9449, 20)
('Lindsay Coleman', 'RANGER', 'ELF', 14414, 9)
('Edward Jones', 'ROGUE', 'GNOME', 6766, 6)
('Aaron Blanchard', 'RANGER', 'DWARF', 2776, 4)
('Michael Turner', 'PALADIN', 'HALFLING', 9297, 4)
('Kyle Bryant', 'MONK', 'GNOME', 11498, 18)
('Judy Smith', 'MONK', 'HALFLING', 6868, 10)
('James Mccoy', 'WARLOCK', 'TIEFLING', 10720, 11)
('Scott Cannon', 'RANGER', 'DRAGONBORN', 18833, 16)
('Brent Crawford', 'SORCERER', 'HALF_ORC', 17222, 13)
('Brian Coleman', 'MONK', 'ELF', 13966, 17)
('Fred Kelly', 'RANGER', 'DWARF', 4004, 2)
('Jacob Klein', 'BARD', 'HALF_ORC', 13605, 15)
('Craig Barrett', 'BARD', 'DWARF', 6666, 1)
('Dr. Michelle Garcia MD', 'CLERIC', 'HALFLING', 15079, 3)
('Matthew Roberts', 'CLERIC', 'DWARF', 6079, 13)
('Rebecca Welch', 'BARBARIAN', 'DWARF', 1473, 16)
('Marissa Smith', 'SORCERER', 'DRAGONBORN', 17543, 8)
('Jennifer Hall', 'ROGUE', 'DRAGONBORN', 195, 15)
('Jacob Taylor', 'SORCERER', 'HALFLING', 9078, 1)
('Sarah Bell', 'ARTIFICER', 'HALF_ELF', 1047, 20)
('Jennifer Wallace', 'SORCERER', 'TIEFLING', 1655, 4)
('Mary Martin DDS', 'RANGER', 'DRAGONBORN', 16896, 4)
('Thomas Simmons', 'WIZARD', 'HALF_ELF', 17652, 9)
('Patricia Joseph', 'SORCERER', 'ELF', 5571, 13)
('Rebecca Park', 'RANGER', 'ELF', 3943, 20)
('Jack Walters', 'SORCERER', 'HALFLING', 1924, 11)
('Marcus Hensley', 'BARBARIAN', 'HUMAN', 1518, 20)
('Debra Spencer', 'PALADIN', 'TIEFLING', 6529, 6)
('Crystal Shelton', 'BARD', 'HALF_ORC', 10002, 14)
('Samantha Shepard', 'WARLOCK', 'HALFLING', 4957, 9)
('Donald Henderson', 'BARBARIAN', 'DWARF', 1505, 13)
('Dominique Garcia', 'DRUID', 'HALF_ORC', 18903, 3)
('Jimmy Patterson', 'DRUID', 'TIEFLING', 3714, 17)
('Adam Walton', 'BARD', 'DWARF', 3540, 18)
('Thomas Miller', 'WARLOCK', 'ELF', 5208, 3)
('Terri Koch', 'FIGHTER', 'GNOME', 14886, 5)
('David White', 'BARBARIAN', 'HALFLING', 5637, 17)
('Brian Norris', 'CLERIC', 'DRAGONBORN', 14905, 8)
('Robert Brown', 'CLERIC', 'DRAGONBORN', 7050, 18)
('Nicole Howard', 'ROGUE', 'HALFLING', 16702, 16)
('Andrea Martin', 'BARBARIAN', 'HALFLING', 494, 8)
('Carolyn Davis', 'WARLOCK', 'ELF', 13653, 12)
('Andrew Davis', 'RANGER', 'HUMAN', 3706, 2)
('Angela Petty', 'WIZARD', 'DRAGONBORN', 5039, 12)
('Richard Bailey', 'BARD', 'HALF_ELF', 13535, 20)
('Larry Velasquez', 'CLERIC', 'GNOME', 14795, 11)
('Michelle Warren', 'MONK', 'DRAGONBORN', 3603, 9)
('Aaron Garcia', 'PALADIN', 'DWARF', 2041, 1)
('Darryl Smith', 'MONK', 'DRAGONBORN', 17640, 10)
('Rachel White', 'MONK', 'DWARF', 10273, 15)
('Joan Simmons', 'MONK', 'HUMAN', 11218, 14)
('Cynthia Leblanc MD', 'DRUID', 'HUMAN', 19627, 20)
('Steven Mayo', 'BARD', 'ELF', 10931, 1)
('Louis Brown', 'WIZARD', 'TIEFLING', 6069, 2)
('Jennifer Haynes', 'SORCERER', 'TIEFLING', 9845, 5)
('Brianna Snyder', 'MONK', 'HALF_ORC', 11591, 1)
('Stephen Garcia', 'PALADIN', 'GNOME', 11959, 12)
('Frank Simpson', 'ARTIFICER', 'TIEFLING', 9973, 7)
('Mr. Marcus Mcpherson', 'WARLOCK', 'DRAGONBORN', 19208, 8)
('Karen Evans', 'BARBARIAN', 'DWARF', 19990, 6)
('Roger Franklin', 'PALADIN', 'HALF_ORC', 18730, 14)
('Bradley Berger', 'CLERIC', 'DWARF', 5599, 8)
('Tyler Hamilton', 'ARTIFICER', 'GNOME', 19845, 7)
('Steven Mason', 'CLERIC', 'HUMAN', 9145, 2)
('Michael Flynn', 'BARBARIAN', 'HALF_ELF', 19050, 5)
('Oscar Jackson', 'ROGUE', 'DRAGONBORN', 9965, 5)
('David Williams', 'WIZARD', 'HUMAN', 12331, 14)
('Justin Medina', 'ROGUE', 'DRAGONBORN', 1826, 6)
('Vanessa Rivera', 'PALADIN', 'HALF_ELF', 16548, 4)
('Samuel Hanna', 'RANGER', 'TIEFLING', 12308, 15)
('Amanda Williams', 'SORCERER', 'HALF_ELF', 13745, 11)
('Shane Osborne', 'SORCERER', 'HALFLING', 16080, 5)
('Samantha Hernandez', 'DRUID', 'DWARF', 4363, 5)
('Tony Rodriguez', 'ARTIFICER', 'HALF_ORC', 3622, 16)
('Michael Sullivan', 'RANGER', 'DRAGONBORN', 8546, 6)
('Melissa Wilkerson', 'WARLOCK', 'HALF_ELF', 297, 6)
('Julia Barker', 'RANGER', 'DRAGONBORN', 14687, 10)
('Lori Sampson', 'PALADIN', 'DRAGONBORN', 11650, 20)
('Richard Moss', 'CLERIC', 'HUMAN', 5655, 4)
('Sarah Hernandez MD', 'WIZARD', 'ELF', 6638, 17)
('Gregory Green', 'FIGHTER', 'DWARF', 6001, 9)
('Shelby Jordan', 'SORCERER', 'HALF_ELF', 1557, 14)
('Mark Williams', 'PALADIN', 'GNOME', 12938, 1)
('Maria Anderson', 'ARTIFICER', 'GNOME', 19960, 20)
('Lisa Martinez', 'ROGUE', 'HALF_ORC', 13283, 16)
('Margaret Hughes', 'SORCERER', 'TIEFLING', 16158, 19)
('Riley Oconnor', 'BARBARIAN', 'HALF_ORC', 19653, 17)
('Jeremy Rojas', 'ARTIFICER', 'HALF_ELF', 12720, 19)
('Laura Silva', 'DRUID', 'GNOME', 3065, 5)
('Kaitlyn Richardson', 'RANGER', 'HALF_ELF', 2361, 3)
('Samuel Davis', 'SORCERER', 'HALF_ELF', 9379, 9)
('Kevin Roy', 'CLERIC', 'HALF_ELF', 3082, 6)
('Shawn Ray', 'WARLOCK', 'DRAGONBORN', 8063, 18)
('Ralph Lopez', 'BARBARIAN', 'DWARF', 5827, 19)
('Sheila Cline', 'BARBARIAN', 'DRAGONBORN', 8170, 18)
('Michael Taylor', 'WARLOCK', 'ELF', 11430, 13)
