('Michael Hall', 'FIGHTER', 'HALF_ELF', 17915, 7)
('Deborah Thompson', 'RANGER', 'TIEFLING', 9114, 19)
('Eric Lowe', 'PALADIN', 'HALFLING', 2815, 14)
('Christina Jensen', 'SORCERER', 'HALF_ORC', 4682, 9)
('Curtis Baker', 'WARLOCK', 'HUMAN', 17179, 7)
('Jennifer Mcintosh', 'CLERIC', 'GNOME', 11008, 7)
('Rebekah Richards', 'WIZARD', 'TIEFLING', 17796, 1)
('Meredith Alexander', 'BARD', 'ELF', 691, 16)
('Kayla Baker', 'ARTIFICER', 'HALF_ORC', 19868, 7)
('Dawn Hanson', 'SORCERER', 'DRAGONBORN', 8017, 7)
('Adam Meza', 'PALADIN', 'HALF_ELF', 9492, 12)
('David Cooper', 'CLERIC', 'HALF_ORC', 3281, 18)
('Robin Sullivan', 'PALADIN', 'DWARF', 4694, 20)
('Matthew Knight', 'RANGER', 'GNOME', 7154, 14)
('Andrew Fuller', 'BARD', 'HALF_ELF', 161, 16)
('Bradley Tran', 'FIGHTER', 'DWARF', 16379, 10)
('Katherine Hernandez', 'PALADIN', 'TIEFLING', 9800, 3)
('Caitlin Yates', 'BARBARIAN', 'ELF', 15272, 13)
('Troy Weiss', 'FIGHTER', 'DWARF', 18688, 16)
('Charles Wallace', 'MONK', 'DWARF', 11376, 19)
('Christy Williams', 'FIGHTER', 'DWARF', 7853, 5)
('Caitlin Daniels', 'BARD', 'HALFLING', 828, 3)
('Daniel Adams', 'WARLOCK', 'DRAGONBORN', 2629, 14)
('Sergio Fisher', 'FIGHTER', 'TIEFLING', 2117, 9)
('Lisa Wallace', 'BARBARIAN', 'TIEFLING', 1583, 2)
('April Meyers', 'ARTIFICER', 'DRAGONBORN', 5849, 1)
('Carmen Page', 'ROGUE', 'HUMAN', 16918, 2)
('Stanley Williams', 'ARTIFICER', 'HALFLING', 62, 7)
('Brandi Holmes', 'BARBARIAN', 'TIEFLING', 19662, 13)
('Michelle Jones', 'FIGHTER', 'GNOME', 12033, 5)
('Katelyn Lane', 'PALADIN', 'HALFLING', 11766, 20)
('Victor Obrien', 'SORCERER', 'TIEFLING', 4621, 16)
('James Franklin', 'DRUID', 'HALF_ELF', 8123, 8)
('Lisa Ray', 'CLERIC', 'GNOME', 2029, 11)
('Cynthia Compton', 'FIGHTER', 'HALFLING', 4908, 9)
('Kathleen Patton', 'FIGHTER', 'HALF_ORC', 16399, 17)
('Patricia Gray', 'BARD', 'ELF', 15178, 8)
('Brian Hurst', 'RANGER', 'GNOME', 4966, 15)
('Sue Bowers', 'ROGUE', 'HALF_ELF', 6032, 14)
('Derek Bishop', 'RANGER', 'DWARF', 15954, 8)
('Amanda Jordan', 'RANGER', 'HUMAN', 7032, 19)
('Heather Blake', 'RANGER', 'HUMAN', 12408, 10)
('Kelly Lewis', 'WARLOCK', 'GNOME', 14318, 10)
('Austin Thompson', 'RANGER', 'GNOME', 10211, 19)
('Nathan Hayes', 'ARTIFICER', 'GNOME', 16970, 1)
('Mrs. Ashley Clark', 'DRUID', 'HUMAN', 10593, 3)
('Amanda Barker', 'PALADIN', 'HALF_ORC', 2050, 6)
('Jonathan Davis', 'MONK', 'DRAGONBORN', 19839, 17)
('Kelly Davis', 'MONK', 'HALF_ORC', 11144, 8)
('Kara Mcneil', 'DRUID', 'DRAGONBORN', 18689, 2)
('Nathaniel Elliott', 'RANGER', 'HALFLING', 18661, 3)
('Matthew Vasquez', 'RANGER', 'HALFLING', 12640, 19)
('John Thompson', 'CLERIC', 'DRAGONBORN', 14959, 9)
('Craig Snyder', 'RANGER', 'DRAGONBORN', 16843, 16)
('Christina Craig', 'MONK', 'DRAGONBORN', 16589, 5)
('Tristan Brown', 'WARLOCK', 'HALF_ELF', 16650, 17)
('Meghan Garza', 'BARD', 'HALF_ELF', 7768, 13)
('Carolyn Anderson', 'CLERIC', 'DWARF', 19452, 9)
('Julie Serrano', 'FIGHTER', 'HALF_ELF', 18759, 19)
('Jose Mcmillan', 'WIZARD', 'HALFLING', 9683, 14)
('Crystal Terrell', 'WARLOCK', 'HUMAN', 12714, 9)
('Amy Wilson', 'WARLOCK', 'DWARF', 13288, 2)
('Travis Moreno', 'CLERIC', 'GNOME', 1101, 6)
('Susan Lang', 'BARD', 'GNOME', 19398, 17)
('Monica Stephens', 'FIGHTER', 'HALFLING', 19501, 9)
('Keith Randall', 'WIZARD', 'DWARF', 2037, 14)
('Allison Tran', 'FIGHTER', 'TIEFLING', 12033, 2)
('Sandra Allen', 'BARD', 'HALFLING', 2950, 14)
('Noah Smith', 'DRUID', 'DWARF', 951, 10)
('Renee Ray', 'SORCERER', 'DRAGONBORN', 2886, 4)
('Misty White', 'FIGHTER', 'DWARF', 2070, 8)
('Kent Roth', 'CLERIC', 'GNOME', 10290, 7)
('Mackenzie Reyes', 'CLERIC', 'DRAGONBORN', 18228, 2)
('Tabitha Clark', 'DRUID', 'HUMAN', 17944, 1)
('John Cortez', 'FIGHTER', 'DWARF', 17943, 13)
('Sally Chan', 'FIGHTER', 'HALF_ORC', 5883, 16)
('Alex Smith', 'WIZARD', 'DWARF', 11253, 12)
('Stacey Kennedy', 'BARBARIAN', 'GNOME', 6483, 8)
('Teresa Hopkins', 'BARD', 'HALF_ELF', 4737, 4)
('Martha Reyes', 'BARBARIAN', 'GNOME', 637, 3)
('Jessica Martin', 'WIZARD', 'DWARF', 10675, 15)
('Mitchell Hamilton', 'FIGHTER', 'ELF', 12011, 11)
('Jeffrey Golden', 'MONK', 'TIEFLING', 19940, 15)
('Chad Anderson', 'ARTIFICER', 'DWARF', 15511, 11)
('April Carson', 'BARBARIAN', 'HALFLING', 17841, 18)
('Kenneth Gill', 'FIGHTER', 'GNOME', 7706, 12)
('Bill Willis', 'BARBARIAN', 'TIEFLING', 14142, 2)
('John Hebert', 'RANGER', 'DRAGONBORN', 9404, 2)
('Brian Rosales', 'DRUID', 'DRAGONBORN', 7743, 19)
('Mary Graves', 'CLERIC', 'HALFLING', 429, 7)
('Jeremy Watson', 'SORCERER', 'HALF_ORC', 19445, 10)
('Nathan Palmer', 'ARTIFICER', 'HALFLING', 15392, 2)
('Jennifer Burke', 'BARBARIAN', 'HALF_ELF', 16101, 1)
('Christina Macias', 'BARD', 'HUMAN', 18487, 15)
('Carolyn Hicks', 'BARD', 'HALF_ELF', 15405, 17)
('Randy Rodriguez', 'FIGHTER', 'DRAGONBORN', 16409, 1)
('Brittany Mejia', 'ARTIFICER', 'HALFLING', 10085, 13)
('Stephen Henderson', 'CLERIC', 'HALF_ELF', 11067, 19)
('Steven Ward', 'DRUID', 'HALF_ELF', 6554, 19)
('Aimee Hunter', 'WARLOCK', 'HALF_ORC', 17317, 11)
('Spencer Miller', 'DRUID', 'DRAGONBORN', 14239, 4)
('Ian Brown', 'RANGER', 'DWARF', 896, 20)
('Ashley Shields', 'ROGUE', 'HALF_ELF', 4542, 11)
('Amber Rodriguez', 'BARD', 'ELF', 550, 2)
('Christopher Henry', 'ARTIFICER', 'HALFLING', 18075, 15)
('Julie Anderson', 'FIGHTER', 'GNOME', 11513, 7)
('Allison Tucker', 'SORCERER', 'HALF_ORC', 562, 7)
('Hannah Mack', 'MONK', 'HALF_ORC', 7539, 13)
('Sharon Cannon', 'CLERIC', 'TIEFLING', 14583, 16)
('Robert Gibson', 'BARBARIAN', 'HALF_ORC', 17672, 19)
('Joseph Wilson', 'DRUID', 'HALF_ORC', 18915, 17)
('Beth Peterson', 'ARTIFICER', 'TIEFLING', 980, 5)
('Richard Robinson', 'MONK', 'TIEFLING', 14642, 6)
('Melissa Davis', 'WARLOCK', 'HALFLING', 19323, 4)
('Mark Silva', 'SORCERER', 'TIEFLING', 10240, 15)
('Amanda Henderson', 'SORCERER', 'ELF', 13708, 10)
('Gerald Gaines', 'WARLOCK', 'HALFLING', 16690, 7)
('Luis Holloway', 'CLERIC', 'HALFLING', 5802, 13)
('David Hensley', 'BARBARIAN', 'TIEFLING', 10471, 17)
('Janet Jackson', 'BARBARIAN', 'TIEFLING', 18196, 12)
('Carrie Young', 'MONK', 'HALFLING', 11167, 13)
('David Bell', 'ARTIFICER', 'ELF', 5937, 3)
('Amanda Rowe', 'DRUID', 'DWARF', 17546, 20)
('Melissa English', 'DRUID', 'ELF', 14498, 4)
('Andre Freeman', 'DRUID', 'HALF_ORC', 12329, 2)
('Alexa Myers', 'WARLOCK', 'DRAGONBORN', 14612, 7)
('Amy Montgomery', 'FIGHTER', 'ELF', 8731, 8)
('Janet Williams', 'WARLOCK', 'HALFLING', 801, 6)
('Tamara Rios', 'SORCERER', 'HALF_ELF', 1398, 6)
('Carlos Wall II', 'MONK', 'DWARF', 10267, 17)
('Connor Conner', 'ROGUE', 'GNOME', 1715, 19)
('Brittany Kim', 'BARBARIAN', 'TIEFLING', 17264, 8)
('Christine Jones', 'CLERIC', 'HALF_ORC', 983, 18)
('Jasmine Ferguson', 'BARBARIAN', 'HALF_ORC', 9322, 15)
('Mark Snyder', 'CLERIC', 'TIEFLING', 11069, 8)
('Brandon Baker', 'WARLOCK', 'DWARF', 6671, 1)
('Brittany Watson', 'ARTIFICER', 'HUMAN', 13720, 4)
('Sarah Jenkins', 'SORCERER', 'DRAGONBORN', 12684, 2)
('Dennis Weaver', 'CLERIC', 'HALF_ELF', 19417, 11)
('Michael Baxter', 'RANGER', 'HALFLING', 18811, 1)
('Kayla Burke', 'RANGER', 'HALF_ORC', 19312, 19)
('Christopher Holland', 'MONK', 'HUMAN', 11597, 4)
('Julie Ramsey', 'PALADIN', 'DWARF', 8013, 14)
('James Snyder', 'BARBARIAN', 'DWARF', 8849, 3)
('Thomas Phillips', 'ARTIFICER', 'GNOME', 16526, 8)
('Evan Middleton', 'ARTIFICER', 'HALFLING', 9977, 8)
('Jeffrey Davis', 'BARD', 'HUMAN', 16403, 20)
('Timothy Martin', 'CLERIC', 'TIEFLING', 14131, 4)
('Dr. Kevin Fuller', 'WARLOCK', 'DRAGONBORN', 6271, 12)
('Jason Williams', 'DRUID', 'ELF', 19762, 13)
('Shannon Johnson', 'RANGER', 'HALF_ORC', 4417, 8)
('Michelle Davis', 'PALADIN', 'HUMAN', 18313, 13)
('Ashley Cruz', 'WIZARD', 'HUMAN', 18742, 16)
('Carly Barnett', 'ARTIFICER', 'HALF_ORC', 3487, 10)
('Sean Thompson', 'CLERIC', 'DRAGONBORN', 7111, 14)
('Matthew Wood', 'MONK', 'HUMAN', 17301, 5)
('Michelle Marks', 'WARLOCK', 'HALFLING', 9538, 5)
('Richard Cordova', 'ROGUE', 'HUMAN', 9402, 13)
('Casey Weeks', 'BARD', 'DRAGONBORN', 3457, 6)
('Robert Solis', 'ARTIFICER', 'HALF_ELF', 1591, 10)
('Jason Chapman', 'BARBARIAN', 'HALF_ORC', 12851, 9)
('Raymond Pratt', 'PALADIN', 'DWARF', 8602, 9)
('Jason Martin', 'DRUID', 'TIEFLING', 4616, 14)
('John Sullivan', 'FIGHTER', 'GNOME', 18503, 4)
('Jonathan Perez', 'BARD', 'GNOME', 7206, 19)
('Nicole Jones', 'ARTIFICER', 'HALF_ELF', 11765, 4)
('Kelly Mora', 'WIZARD', 'DRAGONBORN', 4840, 2)
('David Mercer', 'ARTIFICER', 'ELF', 15532, 13)
('Antonio Pierce', 'MONK', 'HALFLING', 12997, 8)
('Amy Jordan DVM', 'WIZARD', 'GNOME', 16982, 8)
('Patrick Kelly', 'SORCERER', 'DRAGONBORN', 19941, 20)
('Shane Martinez', 'ARTIFICER', 'HALFLING', 5700, 17)
('Samuel Steele', 'ARTIFICER', 'HALF_ORC', 12392, 18)
('Luis Woodward', 'ARTIFICER', 'HALF_ORC', 12282, 9)
('Richard Watson', 'BARBARIAN', 'HALFLING', 8424, 17)
('Dawn Fuller', 'WARLOCK', 'TIEFLING', 726, 17)
('Krystal Taylor', 'ROGUE', 'TIEFLING', 7980, 8)
('Rachel Washington', 'DRUID', 'DRAGONBORN', 9762, 19)
('Stacy Johnson', 'BARBARIAN', 'HALF_ELF', 394, 9)
('David Welch', 'BARD', 'DWARF', 9304, 13)
('Patricia Coffey', 'BARD', 'HUMAN', 18282, 1)
('Stephanie Martin', 'CLERIC', 'HALF_ORC', 10120, 20)
('Michael Cohen', 'DRUID', 'DWARF', 15990, 8)
('Anne Gilbert', 'WARLOCK', 'ELF', 8976, 2)
('Denise Dorsey', 'MONK', 'DWARF', 4141, 16)
('Mark Keith', 'WIZARD', 'HALF_ORC', 17976, 14)
('Alexandra Mitchell', 'CLERIC', 'DRAGONBORN', 18047, 7)
('Robert Smith', 'SORCERER', 'GNOME', 14690, 9)
('Kevin Reese', 'FIGHTER', 'ELF', 5731, 19)
('Casey Taylor', 'SORCERER', 'HUMAN', 2690, 18)
('Robert Valdez', 'ROGUE', 'HALFLING', 11986, 7)
('Anthony Pierce', 'BARD', 'TIEFLING', 431, 9)
('Kayla Stephens', 'FIGHTER', 'DRAGONBORN', 10053, 11)
('Danielle Stone', 'WARLOCK', 'HUMAN', 15140, 4)
('Emily Russell', 'ROGUE', 'HUMAN', 8407, 10)
('Sergio Wolf', 'BARD', 'DWARF', 14175, 15)
('Carlos Oneill', 'PALADIN', 'ELF', 13681, 9)
('Henry Reynolds', 'SORCERER', 'TIEFLING', 19453, 4)
('Debra Anderson', 'ARTIFICER', 'HALF_ORC', 7079, 4)
('Robert Watson', 'DRUID', 'TIEFLING', 107, 11)
('Andrew Smith', 'ROGUE', 'HALF_ORC', 18068, 7)
('Christopher Johnson', 'BARBARIAN', 'DWARF', 19137, 16)
('Ryan Jones', 'DRUID', 'DWARF', 18170, 14)
('Kelly Williams', 'BARD', 'ELF', 4740, 10)
('Kimberly Carter', 'BARBARIAN', 'DRAGONBORN', 14584, 13)
('Carlos Sullivan', 'BARD', 'HALF_ELF', 5435, 6)
('Timothy Green', 'BARBARIAN', 'DRAGONBORN', 5854, 14)
('Richard Parrish', 'ARTIFICER', 'TIEFLING', 2136, 6)
('Tyler Flores', 'SORCERER', 'TIEFLING', 13257, 7)
('Catherine Schneider', 'FIGHTER', 'HUMAN', 6608, 11)
('Robert Adams', 'BARD', 'DWARF', 6270, 19)
('Sherry Price', 'SORCERER', 'HALF_ORC', 8489, 16)
('Katherine Huang', 'CLERIC', 'DRAGONBORN', 2228, 9)
('Christopher Porter', 'ROGUE', 'HALF_ORC', 10290, 15)
('Elizabeth Sanchez', 'SORCERER', 'HALF_ELF', 9986, 19)
('Dawn Luna', 'WIZARD', 'ELF', 8022, 10)
('Heather Schroeder', 'WIZARD', 'HALF_ORC', 5962, 5)
('Dakota Luna', 'BARD', 'DRAGONBORN', 18708, 17)
('Sean Myers', 'DRUID', 'TIEFLING', 193, 18)
('Joseph Olsen', 'RANGER', 'DWARF', 14947, 10)
('Richard Jones', 'DRUID', 'DWARF', 11282, 7)
('David Huffman', 'ROGUE', 'HALFLING', 12986, 11)
('Allison Flores', 'PALADIN', 'DRAGONBORN', 3416, 12)
('Peter Hansen', 'RANGER', 'DWARF', 11133, 20)
('Grant Wright', 'FIGHTER', 'DWARF', 13833, 17)
('Edward Clay', 'MONK', 'TIEFLING', 3076, 18)
('Carl Adams', 'PALADIN', 'GNOME', 10335, 4)
('Ian Gilmore', 'DRUID', 'TIEFLING', 10373, 3)
('Veronica Miller', 'CLERIC', 'ELF', 1672, 18)
('Damon Bradford', 'DRUID', 'TIEFLING', 4158, 4)
('John Ruiz', 'BARD', 'HUMAN', 12441, 7)
('Robert Rodriguez', 'DRUID', 'HALF_ORC', 15001, 9)
('Craig Adams', 'WIZARD', 'GNOME', 10445, 18)
('Jennifer Frank', 'FIGHTER', 'HUMAN', 2501, 20)
('Gregory Curtis', 'DRUID', 'HALF_ELF', 2935, 16)
('Mary Williams', 'WARLOCK', 'DRAGONBORN', 17377, 4)
('Alexis Newman', 'DRUID', 'HUMAN', 11065, 1)
('Matthew Herrera', 'CLERIC', 'GNOME', 16294, 13)
('Angela Nelson', 'BARD', 'HUMAN', 1995, 6)
('Samuel Gregory', 'BARD', 'DWARF', 5512, 19)
('Jessica Evans', 'RANGER', 'GNOME', 1486, 14)
('Sarah Mann', 'WARLOCK', 'DWARF', 15690, 18)
('Fred Johnson', 'MONK', 'HUMAN', 12444, 5)
('Tracie Maxwell', 'WIZARD', 'GNOME', 10661, 7)
('Jeremiah Harrington', 'WIZARD', 'TIEFLING', 7069, 18)
('Brenda Tyler', 'WIZARD', 'HUMAN', 1961, 12)
('Mr. Joshua Flores', 'PALADIN', 'HALFLING', 2555, 15)
('Frederick Hall', 'RANGER', 'HUMAN', 17953, 4)
('Courtney Levy', 'CLERIC', 'DWARF', 440, 12)
('Tina Gonzalez', 'WIZARD', 'HUMAN', 1991, 4)
('Kimberly Henderson', 'SORCERER', 'DRAGONBORN', 1414, 19)
('Jimmy Fitzpatrick', 'ROGUE', 'HALF_ELF', 11458, 3)
('Paula Phillips', 'BARBARIAN', 'GNOME', 6313, 13)
('Sara Gray', 'PALADIN', 'DWARF', 15326, 12)
('David Allen', 'BARBARIAN', 'DWARF', 10069, 17)
('Angela Young', 'ARTIFICER', 'ELF', 1104, 13)
('Kristina White', 'CLERIC', 'GNOME', 2993, 6)
('Brandi Atkinson', 'PALADIN', 'DWARF', 6115, 10)
('Christopher Davis', 'DRUID', 'HALF_ELF', 13247, 9)
('Joshua Woods', 'MONK', 'HALFLING', 14663, 17)
('Andrea Novak', 'FIGHTER', 'HALF_ORC', 16365, 8)
('Joshua Bradley', 'MONK', 'HUMAN', 6154, 16)
('Stephanie Hill', 'MONK', 'HALF_ORC', 9801, 6)
('Sara Pittman', 'WIZARD', 'HUMAN', 16945, 17)
('Alison Butler', 'FIGHTER', 'TIEFLING', 12018, 16)
('Dennis Alvarez', 'DRUID', 'HALF_ORC', 960, 3)
('Danny Williams', 'CLERIC', 'HALF_ORC', 10217, 13)
('Nicole Peters', 'BARD', 'HALF_ORC', 5821, 16)
('Dustin Thompson', 'PALADIN', 'HUMAN', 1745, 19)
('Chelsea Anderson', 'PALADIN', 'TIEFLING', 2905, 9)
('Marcus Hammond', 'FIGHTER', 'DRAGONBORN', 4373, 17)
('Melissa Matthews', 'FIGHTER', 'HUMAN', 8227, 19)
('Christopher Ray', 'BARBARIAN', 'GNOME', 921, 18)
('David Peterson', 'PALADIN', 'DRAGONBORN', 10807, 1)
('Ronnie Hood', 'FIGHTER', 'TIEFLING', 382, 3)
('Lisa Martinez DVM', 'MONK', 'HALFLING', 1106, 2)
('Sierra Cameron', 'DRUID', 'DWARF', 1625, 9)
('Lisa Chen', 'ARTIFICER', 'HUMAN', 19621, 14)
('Edwin Ruiz', 'RANGER', 'HALF_ORC', 17237, 8)
('Christina Martinez', 'RANGER', 'HALF_ELF', 13270, 17)
('Michael Smith', 'ROGUE', 'DWARF', 17956, 14)
('Pam Decker', 'WIZARD', 'HALF_ORC', 15272, 19)
('Jeff Cooke', 'DRUID', 'ELF', 19084, 18)
('John Hurst', 'WARLOCK', 'HUMAN', 14646, 5)
('Michelle Torres', 'MONK', 'HALF_ELF', 14243, 18)
('Kim Webb', 'WIZARD', 'ELF', 13226, 6)
('Scott Abbott', 'SORCERER', 'ELF', 11133, 10)
('Jacob Copeland', 'SORCERER', 'TIEFLING', 6090, 17)
('Mary Hart', 'SORCERER', 'HUMAN', 14306, 13)
('Mr. Bryan Reeves', 'WARLOCK', 'TIEFLING', 11046, 3)
('Hunter Pierce', 'MONK', 'GNOME', 10125, 18)
('Anthony Santana', 'CLERIC', 'ELF', 7708, 10)
('Kimberly Davis', 'WARLOCK', 'GNOME', 9749, 20)
('Nancy Williams', 'ARTIFICER', 'HALFLING', 16232, 15)
('Jon Hall', 'FIGHTER', 'DRAGONBORN', 14846, 18)
('Sarah Young', 'PALADIN', 'DWARF', 18613, 14)
('Sarah Clark', 'CLERIC', 'HALF_ORC', 17701, 1)
('Jesus Jones', 'PALADIN', 'ELF', 1707, 11)
('Alexis Banks', 'WIZARD', 'HALF_ELF', 1475, 9)
('Kayla Sosa', 'BARD', 'ELF', 18656, 7)
('Jennifer Harper', 'ARTIFICER', 'HALF_ELF', 2232, 13)
('Stephanie Tyler', 'CLERIC', 'HUMAN', 8969, 13)
('William Baker', 'BARBARIAN', 'HALFLING', 15061, 11)
('Lauren Flores', 'FIGHTER', 'DRAGONBORN', 15236, 6)
('Kelly Carter', 'PALADIN', 'GNOME', 7572, 7)
('Denise Burke', 'PALADIN', 'ELF', 8489, 17)
('Michael Patterson', 'MONK', 'GNOME', 11051, 17)
('Krystal Bailey', 'WARLOCK', 'HALF_ORC', 15143, 15)
('Isabella Mendoza', 'ROGUE', 'DRAGONBORN', 5482, 4)
('Ryan White', 'WIZARD', 'TIEFLING', 590, 16)
('Elizabeth Clark', 'BARBARIAN', 'HUMAN', 12011, 16)
('Leah Chavez', 'PALADIN', 'TIEFLING', 17866, 7)
('Beverly Burke', 'MONK', 'DRAGONBORN', 3534, 5)
('April Moses', 'WARLOCK', 'DRAGONBORN', 2802, 14)
('Casey Mosley DDS', 'BARBARIAN', 'TIEFLING', 2670, 6)
('Regina Hayes', 'BARD', 'HUMAN', 4785, 20)
('Shane Martin', 'RANGER', 'GNOME', 19997, 5)
('Jacqueline Payne', 'ROGUE', 'ELF', 7191, 2)
('Nicole Lee', 'ARTIFICER', 'HALFLING', 4875, 16)
('Ronald Jackson', 'WIZARD', 'DWARF', 11696, 3)
('Christopher Sandoval', 'FIGHTER', 'HALF_ORC', 11422, 14)
('Steven Garcia', 'WARLOCK', 'ELF', 9804, 8)
('Anthony Madden', 'MONK', 'TIEFLING', 15870, 9)
('Javier Hall', 'SORCERER', 'GNOME', 457, 14)
('Adrienne Sanders', 'ROGUE', 'DRAGONBORN', 7439, 1)
('Jill Clark', 'DRUID', 'DWARF', 14509, 16)
('Jennifer Brown', 'WARLOCK', 'HALF_ELF', 7626, 19)
('Harry Dean', 'ROGUE', 'TIEFLING', 5148, 9)
('Eric Anderson', 'BARD', 'HUMAN', 17978, 2)
('Melissa Johnson', 'RANGER', 'GNOME', 4601, 20)
('Gary Ray', 'DRUID', 'HALFLING', 2343, 4)
('Jeffrey Simmons', 'WIZARD', 'HALF_ELF', 4790, 10)
('Kelly Patton', 'WARLOCK', 'TIEFLING', 546, 4)
('Todd Atkinson', 'ROGUE', 'HALF_ELF', 2317, 16)
('Jamie White', 'WIZARD', 'HALF_ELF', 8735, 2)
('Lee Gilbert', 'RANGER', 'HUMAN', 14290, 13)
('Ray Butler', 'RANGER', 'TIEFLING', 8488, 4)
('James Strickland', 'ROGUE', 'DRAGONBORN', 194, 13)
('Noah Hart', 'RANGER', 'HALF_ELF', 6923, 9)
('Timothy Rios', 'ROGUE', 'HALF_ELF', 2849, 11)
('Leslie Cole', 'DRUID', 'DRAGONBORN', 3908, 18)
('Jennifer Wallace', 'MONK', 'HALF_ORC', 18746, 1)
('Dr. Meagan Duke', 'WARLOCK', 'HALF_ORC', 150, 5)
('Amanda Miller', 'BARBARIAN', 'GNOME', 105, 2)
('Ashley Phillips MD', 'WARLOCK', 'ELF', 1638, 16)
('Clinton Gibson', 'DRUID', 'HALF_ELF', 596, 9)
('William Webster', 'FIGHTER', 'ELF', 2876, 2)
('Amy Jackson', 'MONK', 'TIEFLING', 6646, 20)
('Matthew Cooper', 'WARLOCK', 'DRAGONBORN', 10240, 6)
('Mark Jackson', 'BARD', 'HALF_ORC', 6600, 5)
('Gabriel Burke', 'MONK', 'DRAGONBORN', 13148, 11)
('Jeremiah Valdez', 'MONK', 'HALFLING', 12728, 13)
('Larry Romero', 'WIZARD', 'GNOME', 683, 5)
('Rachel Miller', 'BARD', 'DWARF', 2254, 9)
('James Buck', 'ARTIFICER', 'HALF_ORC', 7495, 9)
('Doris Gonzalez', 'RANGER', 'HALF_ORC', 15358, 16)
('Juan Mitchell', 'WARLOCK', 'HALF_ORC', 18817, 19)
('Linda Fischer', 'CLERIC', 'HALF_ELF', 13236, 5)
('Angela Leon', 'BARD', 'HUMAN', 5969, 16)
('Kevin Morales', 'BARD', 'DRAGONBORN', 18018, 4)
('Paul Buck', 'ARTIFICER', 'HUMAN', 10790, 19)
('David Ryan', 'BARD', 'HUMAN', 10696, 7)
('Debra Martinez', 'BARD', 'GNOME', 5927, 2)
('Anthony Malone MD', 'CLERIC', 'ELF', 13886, 3)
('Monique Carter', 'FIGHTER', 'ELF', 16090, 9)
('David Castillo', 'WARLOCK', 'DRAGONBORN', 13711, 15)
('Sara Williamson', 'MONK', 'DWARF', 6372, 6)
('Steven Lewis', 'BARD', 'HALFLING', 4264, 13)
('Randy Wagner', 'RANGER', 'ELF', 5115, 8)
('Nicholas Sanchez', 'RANGER', 'DRAGONBORN', 18099, 8)
('Steven Reynolds', 'WIZARD', 'HALF_ELF', 17455, 20)
('Lauren Reynolds DVM', 'ROGUE', 'DRAGONBORN', 14608, 18)
('Edwin Hanna', 'MONK', 'HALF_ORC', 10456, 19)
('Austin Beck', 'WIZARD', 'TIEFLING', 279, 20)
('Kristy Leach', 'MONK', 'ELF', 7678, 17)
('Jamie Reyes', 'BARBARIAN', 'DRAGONBORN', 14678, 6)
('Jason Ray', 'PALADIN', 'HUMAN', 13381, 9)
('Mr. Brandon Higgins', 'SORCERER', 'GNOME', 6088, 1)
('William Jackson', 'DRUID', 'HUMAN', 2649, 20)
('Donald Rogers', 'WARLOCK', 'HALFLING', 5169, 15)
('Dennis Johnson', 'MONK', 'GNOME', 6118, 2)
('Misty Blankenship', 'DRUID', 'ELF', 10134, 16)
('Evelyn Rasmussen', 'SORCERER', 'HALFLING', 1464, 7)
('Mark Jones', 'WIZARD', 'GNOME', 1003, 16)
('Samuel Martin', 'ROGUE', 'ELF', 12352, 9)
('Joseph Burke', 'DRUID', 'GNOME', 14124, 3)
('Austin Marshall', 'BARBARIAN', 'DWARF', 5718, 18)
('Eric Obrien', 'ARTIFICER', 'ELF', 12913, 17)
('Mr. Jordan Higgins', 'FIGHTER', 'DWARF', 7266, 7)
('Amber Bailey', 'CLERIC', 'DRAGONBORN', 2503, 17)
('Blake Johnson', 'DRUID', 'HUMAN', 13179, 11)
('Eric Garcia', 'BARBARIAN', 'GNOME', 11166, 8)
('Miguel Schneider', 'ARTIFICER', 'TIEFLING', 4512, 4)
('Brad Webster', 'CLERIC', 'DWARF', 4961, 10)
('Ronald Jordan', 'DRUID', 'ELF', 16917, 1)
('Jeremy Johnson', 'WIZARD', 'HALF_ELF', 4718, 10)
('Richard Faulkner', 'WIZARD', 'DWARF', 11580, 1)
('Gary Cooper', 'SORCERER', 'HUMAN', 7398, 10)
('Jessica Murray', 'PALADIN', 'HALF_ORC', 630, 3)
('Robert Turner', 'DRUID', 'HALF_ORC', 6405, 20)
('Omar Richards', 'PALADIN', 'HALF_ORC', 5129, 15)
('Daniel Contreras', 'BARD', 'DRAGONBORN', 14329, 20)
('Dennis Kidd', 'BARBARIAN', 'TIEFLING', 2721, 4)
('Edward Yang', 'WIZARD', 'HUMAN', 13770, 20)
('Kristen Gray', 'CLERIC', 'DRAGONBORN', 7238, 8)
('Mr. Charles Cruz MD', 'FIGHTER', 'GNOME', 13769, 12)
('Kayla Turner', 'MONK', 'DRAGONBORN', 16944, 5)
('Gwendolyn Soto', 'RANGER', 'DRAGONBORN', 19325, 6)
('Nicole Sullivan', 'DRUID', 'HUMAN', 19168, 9)
('Alicia Allen', 'RANGER', 'HALF_ELF', 19458, 8)
('Holly Jones', 'RANGER', 'TIEFLING', 12836, 9)
('Kayla Medina', 'MONK', 'TIEFLING', 16200, 16)
('John Dennis', 'ARTIFICER', 'HALFLING', 16542, 6)
('Carrie Solis', 'RANGER', 'HALF_ELF', 8729, 12)
('David Myers', 'FIGHTER', 'HUMAN', 18068, 9)
